电影名称	评分	导演	演员	上映日期	排名情况
超凡战队----Power Rangers(2017)	无评分	迪恩·以色列特	娜奥米·斯科特,达克雷·蒙特戈梅里	2017年3月24日美国	今日排名下降:3 名,昨日排名：35,历史最高排名：15
刺客信条----Assassin's Creed(2016)	无评分	贾斯汀·库泽尔	迈克尔·法斯宾德,玛丽昂·歌迪亚	2016年12月21日美国	今日排名上升:20 名,昨日排名：59,历史最高排名：28
何去何从----The Loner(2016)	无评分	关晶	中泉英雄,漆子美	2016年10月28日中国	今日排名上升:3 名,昨日排名：43,历史最高排名：40
辣警霸王花----Special Female Force(2016)	无评分	钱国伟	岑丽香,郑欣宜	2016年11月18日中国	今日排名上升:6 名,昨日排名：47,历史最高排名：41
功夫四侠----Kungfu Heroes(2016)	无评分	刘邦邦	徐康,朱蓉蓉	2016年11月12日中国	今日排名下降:5 名,昨日排名：37,历史最高排名：13
加勒比海盗5----Pirates of the Caribbean: Dead Men Tell No Tales(2017)	无评分	乔阿吉姆·罗恩尼	约翰尼·德普,哈维尔·巴登	2017年5月26日美国	今日排名下降:2 名,昨日排名：41,历史最高排名：10
印第安纳波利斯号：勇者----USS Indianapolis: Men of Courage(2016)	无评分	马里奥·范·皮布尔斯	尼古拉斯·凯奇,汤姆·塞兹摩尔	无上映时间	今日排名无变化,昨日排名：44,历史最高排名：21
终结者2：审判日----Terminator 2: Judgment Day(1991)	8.4	詹姆斯·卡梅隆	阿诺·施瓦辛格,琳达·汉密尔顿	无上映时间	今日排名无变化,昨日排名：45,历史最高排名：18
盛先生的花儿----The Song Of Cotton(2016)	无评分	朱员成	颜丙燕,王德顺	2016年11月4日中国	今日排名上升:6 名,昨日排名：52,历史最高排名：46
最萌身高差----MIN & MAX(2016)	无评分	马侃	高以翔,王水林	2016年11月25日中国	今日排名上升:4 名,昨日排名：51,历史最高排名：47
那年夏天你去了哪里----Cherry Returns(2016)	无评分	周隼	宋佳,林家栋	2016年12月2日中国	今日排名下降:8 名,昨日排名：40,历史最高排名：34
28岁未成年----Suddenly Seventeen(2016)	无评分	张末	倪妮,霍建华	2016年12月2日中国	今日排名无变化,昨日排名：49,历史最高排名：33
食人岛----Ghost(2016)	无评分	无导演	娄淇,杨凯迪	2016年12月2日中国	今日排名无变化,昨日排名：50,历史最高排名：27
